trial,FE,beta,m,n,chain_size,name
19,15.5659324788105,0.434294481903252,0,10,6000,WBIC
20,16.306699782396,0.434294481903252,0,10,6000,AFE
20,15.4519737118906,0.434294481903252,0,10,6000,WBIC
1,16.3003838257511,0.434294481903252,0,10,10000,AFE
1,15.579558946121,0.434294481903252,0,10,10000,WBIC
2,16.3014963863313,0.434294481903252,0,10,10000,AFE
2,15.5440686664859,0.434294481903252,0,10,10000,WBIC
3,16.3051246095689,0.434294481903252,0,10,10000,AFE
3,15.5325330658807,0.434294481903252,0,10,10000,WBIC
4,17.6805767899441,0.434294481903252,0,10,10000,AFE
4,15.5169698208637,0.434294481903252,0,10,10000,WBIC
5,16.3079506232661,0.434294481903252,0,10,10000,AFE
5,15.5629684503894,0.434294481903252,0,10,10000,WBIC
6,17.8327576185313,0.434294481903252,0,10,10000,AFE
6,15.5616716101486,0.434294481903252,0,10,10000,WBIC
7,16.3066176860072,0.434294481903252,0,10,10000,AFE
7,15.522691553412,0.434294481903252,0,10,10000,WBIC
8,16.3086622236904,0.434294481903252,0,10,10000,AFE
8,15.530502939701,0.434294481903252,0,10,10000,WBIC
9,19.3473490929024,0.434294481903252,0,10,10000,AFE
9,15.5778581244987,0.434294481903252,0,10,10000,WBIC
10,19.216655610827,0.434294481903252,0,10,10000,AFE
10,15.5499162835528,0.434294481903252,0,10,10000,WBIC
11,17.3142576068314,0.434294481903252,0,10,10000,AFE
11,15.5547892635925,0.434294481903252,0,10,10000,WBIC
12,16.3070156815026,0.434294481903252,0,10,10000,AFE
12,15.541740586357,0.434294481903252,0,10,10000,WBIC
13,16.3064987029408,0.434294481903252,0,10,10000,AFE
13,15.5398524668215,0.434294481903252,0,10,10000,WBIC
14,16.304746347147,0.434294481903252,0,10,10000,AFE
14,15.5301358452305,0.434294481903252,0,10,10000,WBIC
15,16.7150074496084,0.434294481903252,0,10,10000,AFE
15,15.5556792214077,0.434294481903252,0,10,10000,WBIC
16,16.3084142015415,0.434294481903252,0,10,10000,AFE
16,15.5404438968181,0.434294481903252,0,10,10000,WBIC
17,16.3028588797777,0.434294481903252,0,10,10000,AFE
17,15.5595738795906,0.434294481903252,0,10,10000,WBIC
18,16.3289507329413,0.434294481903252,0,10,10000,AFE
18,15.5759328428292,0.434294481903252,0,10,10000,WBIC
19,16.3053353078268,0.434294481903252,0,10,10000,AFE
19,15.5307761864158,0.434294481903252,0,10,10000,WBIC
20,16.3049035379841,0.434294481903252,0,10,10000,AFE
20,15.5414779903219,0.434294481903252,0,10,10000,WBIC
1,77.6624958612564,0.255622218635331,0,50,2000,AFE
1,76.6247933937832,0.255622218635331,0,50,2000,WBIC
2,93.4825453546231,0.255622218635331,0,50,2000,AFE
2,76.4653078856271,0.255622218635331,0,50,2000,WBIC
3,77.6603295912848,0.255622218635331,0,50,2000,AFE
3,76.6711318712395,0.255622218635331,0,50,2000,WBIC
4,77.662618032496,0.255622218635331,0,50,2000,AFE
4,76.5713773240868,0.255622218635331,0,50,2000,WBIC
